Start,Finish,Steps (count)
11/01/2022 15:00,11/01/2022 16:00,0
11/01/2022 16:00,11/01/2022 17:00,0
11/01/2022 17:00,11/01/2022 18:00,19
11/01/2022 18:00,11/01/2022 19:00,0
11/01/2022 19:00,11/01/2022 20:00,0
11/01/2022 20:00,11/01/2022 21:00,0
11/01/2022 21:00,11/01/2022 22:00,0
11/01/2022 22:00,11/01/2022 23:00,0
11/01/2022 23:00,12/01/2022 0:00,0
12/01/2022 0:00,12/01/2022 1:00,22
12/01/2022 1:00,12/01/2022 2:00,0
12/01/2022 2:00,12/01/2022 3:00,0
12/01/2022 3:00,12/01/2022 4:00,0
12/01/2022 4:00,12/01/2022 5:00,0
12/01/2022 5:00,12/01/2022 6:00,0
12/01/2022 6:00,12/01/2022 7:00,0
12/01/2022 7:00,12/01/2022 8:00,0
12/01/2022 8:00,12/01/2022 9:00,18
12/01/2022 9:00,12/01/2022 10:00,0
12/01/2022 10:00,12/01/2022 11:00,0
12/01/2022 11:00,12/01/2022 12:00,0
12/01/2022 12:00,12/01/2022 13:00,0
12/01/2022 13:00,12/01/2022 14:00,1855
12/01/2022 14:00,12/01/2022 15:00,0
12/01/2022 15:00,12/01/2022 16:00,0
12/01/2022 16:00,12/01/2022 17:00,73
12/01/2022 17:00,12/01/2022 18:00,42
12/01/2022 18:00,12/01/2022 19:00,0
12/01/2022 19:00,12/01/2022 20:00,0
12/01/2022 20:00,12/01/2022 21:00,0
12/01/2022 21:00,12/01/2022 22:00,0
12/01/2022 22:00,12/01/2022 23:00,0
12/01/2022 23:00,13/01/2022 0:00,13
13/01/2022 0:00,13/01/2022 1:00,0
13/01/2022 1:00,13/01/2022 2:00,0
13/01/2022 2:00,13/01/2022 3:00,0
13/01/2022 3:00,13/01/2022 4:00,0
13/01/2022 4:00,13/01/2022 5:00,0
13/01/2022 5:00,13/01/2022 6:00,0
13/01/2022 6:00,13/01/2022 7:00,0
13/01/2022 7:00,13/01/2022 8:00,14
13/01/2022 8:00,13/01/2022 9:00,18
13/01/2022 9:00,13/01/2022 10:00,0
13/01/2022 10:00,13/01/2022 11:00,0
13/01/2022 11:00,13/01/2022 12:00,0
13/01/2022 12:00,13/01/2022 13:00,0
13/01/2022 13:00,13/01/2022 14:00,35
13/01/2022 14:00,13/01/2022 15:00,0
13/01/2022 15:00,13/01/2022 16:00,0
13/01/2022 16:00,13/01/2022 17:00,0
13/01/2022 17:00,13/01/2022 18:00,0
13/01/2022 18:00,13/01/2022 19:00,0
13/01/2022 19:00,13/01/2022 20:00,562
13/01/2022 20:00,13/01/2022 21:00,11
13/01/2022 21:00,13/01/2022 22:00,0
13/01/2022 22:00,13/01/2022 23:00,9
13/01/2022 23:00,14/01/2022 0:00,0
14/01/2022 0:00,14/01/2022 1:00,50
14/01/2022 1:00,14/01/2022 2:00,0
14/01/2022 2:00,14/01/2022 3:00,0
14/01/2022 3:00,14/01/2022 4:00,0
14/01/2022 4:00,14/01/2022 5:00,0
14/01/2022 5:00,14/01/2022 6:00,0
14/01/2022 6:00,14/01/2022 7:00,0
14/01/2022 7:00,14/01/2022 8:00,0
14/01/2022 8:00,14/01/2022 9:00,0
14/01/2022 9:00,14/01/2022 10:00,0
14/01/2022 10:00,14/01/2022 11:00,0
14/01/2022 11:00,14/01/2022 12:00,0
14/01/2022 12:00,14/01/2022 13:00,0
14/01/2022 13:00,14/01/2022 14:00,0
14/01/2022 14:00,14/01/2022 15:00,0
14/01/2022 15:00,14/01/2022 16:00,0
14/01/2022 16:00,14/01/2022 17:00,0
14/01/2022 17:00,14/01/2022 18:00,0
14/01/2022 18:00,14/01/2022 19:00,638
14/01/2022 19:00,14/01/2022 20:00,18
14/01/2022 20:00,14/01/2022 21:00,0
14/01/2022 21:00,14/01/2022 22:00,0
14/01/2022 22:00,14/01/2022 23:00,0
14/01/2022 23:00,15/01/2022 0:00,16
15/01/2022 0:00,15/01/2022 1:00,0
15/01/2022 1:00,15/01/2022 2:00,0
15/01/2022 2:00,15/01/2022 3:00,0
15/01/2022 3:00,15/01/2022 4:00,0
15/01/2022 4:00,15/01/2022 5:00,0
15/01/2022 5:00,15/01/2022 6:00,0
15/01/2022 6:00,15/01/2022 7:00,0
15/01/2022 7:00,15/01/2022 8:00,0
15/01/2022 8:00,15/01/2022 9:00,0
15/01/2022 9:00,15/01/2022 10:00,0
15/01/2022 10:00,15/01/2022 11:00,0
15/01/2022 11:00,15/01/2022 12:00,467
15/01/2022 12:00,15/01/2022 13:00,1154.514173
15/01/2022 13:00,15/01/2022 14:00,652.9579499
15/01/2022 14:00,15/01/2022 15:00,659.5278766
15/01/2022 15:00,15/01/2022 16:00,0
15/01/2022 16:00,15/01/2022 17:00,0
15/01/2022 17:00,15/01/2022 18:00,0
15/01/2022 18:00,15/01/2022 19:00,0
15/01/2022 19:00,15/01/2022 20:00,0
15/01/2022 20:00,15/01/2022 21:00,582
15/01/2022 21:00,15/01/2022 22:00,1149
15/01/2022 22:00,15/01/2022 23:00,0
15/01/2022 23:00,16/01/2022 0:00,0
16/01/2022 0:00,16/01/2022 1:00,0
16/01/2022 1:00,16/01/2022 2:00,0
16/01/2022 2:00,16/01/2022 3:00,0
16/01/2022 3:00,16/01/2022 4:00,0
16/01/2022 4:00,16/01/2022 5:00,0
16/01/2022 5:00,16/01/2022 6:00,0
16/01/2022 6:00,16/01/2022 7:00,877.5125337
16/01/2022 7:00,16/01/2022 8:00,650.4874663
16/01/2022 8:00,16/01/2022 9:00,803
16/01/2022 9:00,16/01/2022 10:00,0
16/01/2022 10:00,16/01/2022 11:00,0
16/01/2022 11:00,16/01/2022 12:00,575
16/01/2022 12:00,16/01/2022 13:00,0
16/01/2022 13:00,16/01/2022 14:00,0
16/01/2022 14:00,16/01/2022 15:00,37
16/01/2022 15:00,16/01/2022 16:00,218
16/01/2022 16:00,16/01/2022 17:00,15
16/01/2022 17:00,16/01/2022 18:00,0
16/01/2022 18:00,16/01/2022 19:00,0
16/01/2022 19:00,16/01/2022 20:00,0
16/01/2022 20:00,16/01/2022 21:00,0
16/01/2022 21:00,16/01/2022 22:00,0
16/01/2022 22:00,16/01/2022 23:00,0
16/01/2022 23:00,17/01/2022 0:00,0
17/01/2022 0:00,17/01/2022 1:00,0
17/01/2022 1:00,17/01/2022 2:00,0
17/01/2022 2:00,17/01/2022 3:00,0
17/01/2022 3:00,17/01/2022 4:00,0
17/01/2022 4:00,17/01/2022 5:00,0
17/01/2022 5:00,17/01/2022 6:00,0
17/01/2022 6:00,17/01/2022 7:00,0
17/01/2022 7:00,17/01/2022 8:00,16
17/01/2022 8:00,17/01/2022 9:00,13
17/01/2022 9:00,17/01/2022 10:00,0
17/01/2022 10:00,17/01/2022 11:00,18
17/01/2022 11:00,17/01/2022 12:00,17
17/01/2022 12:00,17/01/2022 13:00,0
17/01/2022 13:00,17/01/2022 14:00,32
17/01/2022 14:00,17/01/2022 15:00,0
17/01/2022 15:00,17/01/2022 16:00,0
17/01/2022 16:00,17/01/2022 17:00,8
17/01/2022 17:00,17/01/2022 18:00,0
17/01/2022 18:00,17/01/2022 19:00,30
17/01/2022 19:00,17/01/2022 20:00,0
17/01/2022 20:00,17/01/2022 21:00,0
17/01/2022 21:00,17/01/2022 22:00,0
17/01/2022 22:00,17/01/2022 23:00,0
17/01/2022 23:00,18/01/2022 0:00,0
18/01/2022 0:00,18/01/2022 1:00,0
18/01/2022 1:00,18/01/2022 2:00,0
18/01/2022 2:00,18/01/2022 3:00,0
18/01/2022 3:00,18/01/2022 4:00,0
18/01/2022 4:00,18/01/2022 5:00,0
18/01/2022 5:00,18/01/2022 6:00,0
18/01/2022 6:00,18/01/2022 7:00,19
18/01/2022 7:00,18/01/2022 8:00,48
18/01/2022 8:00,18/01/2022 9:00,0
18/01/2022 9:00,18/01/2022 10:00,0
18/01/2022 10:00,18/01/2022 11:00,0
18/01/2022 11:00,18/01/2022 12:00,3
18/01/2022 12:00,18/01/2022 13:00,0
18/01/2022 13:00,18/01/2022 14:00,4
18/01/2022 14:00,18/01/2022 15:00,1
18/01/2022 15:00,18/01/2022 16:00,0
18/01/2022 16:00,18/01/2022 17:00,0
18/01/2022 17:00,18/01/2022 18:00,703
18/01/2022 18:00,18/01/2022 19:00,0
18/01/2022 19:00,18/01/2022 20:00,0
18/01/2022 20:00,18/01/2022 21:00,11
18/01/2022 21:00,18/01/2022 22:00,0
18/01/2022 22:00,18/01/2022 23:00,8
18/01/2022 23:00,19/01/2022 0:00,0
19/01/2022 0:00,19/01/2022 1:00,0
19/01/2022 1:00,19/01/2022 2:00,0
19/01/2022 2:00,19/01/2022 3:00,0
19/01/2022 3:00,19/01/2022 4:00,0
19/01/2022 4:00,19/01/2022 5:00,0
19/01/2022 5:00,19/01/2022 6:00,0
19/01/2022 6:00,19/01/2022 7:00,41
19/01/2022 7:00,19/01/2022 8:00,0
19/01/2022 8:00,19/01/2022 9:00,45
19/01/2022 9:00,19/01/2022 10:00,0
19/01/2022 10:00,19/01/2022 11:00,35
19/01/2022 11:00,19/01/2022 12:00,0
19/01/2022 12:00,19/01/2022 13:00,22
19/01/2022 13:00,19/01/2022 14:00,0
19/01/2022 14:00,19/01/2022 15:00,24
19/01/2022 15:00,19/01/2022 16:00,0
19/01/2022 16:00,19/01/2022 17:00,33
19/01/2022 17:00,19/01/2022 18:00,0
19/01/2022 18:00,19/01/2022 19:00,0
19/01/2022 19:00,19/01/2022 20:00,0
19/01/2022 20:00,19/01/2022 21:00,8
19/01/2022 21:00,19/01/2022 22:00,0
19/01/2022 22:00,19/01/2022 23:00,9
19/01/2022 23:00,20/01/2022 0:00,0
20/01/2022 0:00,20/01/2022 1:00,0
20/01/2022 1:00,20/01/2022 2:00,0
20/01/2022 2:00,20/01/2022 3:00,0
20/01/2022 3:00,20/01/2022 4:00,0
20/01/2022 4:00,20/01/2022 5:00,0
20/01/2022 5:00,20/01/2022 6:00,0
20/01/2022 6:00,20/01/2022 7:00,0
20/01/2022 7:00,20/01/2022 8:00,0
20/01/2022 8:00,20/01/2022 9:00,48.76082017
20/01/2022 9:00,20/01/2022 10:00,15.23917983
20/01/2022 10:00,20/01/2022 11:00,0
20/01/2022 11:00,20/01/2022 12:00,12
20/01/2022 12:00,20/01/2022 13:00,0
20/01/2022 13:00,20/01/2022 14:00,0
20/01/2022 14:00,20/01/2022 15:00,0
20/01/2022 15:00,20/01/2022 16:00,0
20/01/2022 16:00,20/01/2022 17:00,0
20/01/2022 17:00,20/01/2022 18:00,16
20/01/2022 18:00,20/01/2022 19:00,0
20/01/2022 19:00,20/01/2022 20:00,0
20/01/2022 20:00,20/01/2022 21:00,12
