Source,Date,Hour,Count
P2’s Apple Watch,2022-08-24,08,92
P2’s Apple Watch,2022-08-24,08,60
P2’s Apple Watch,2022-08-24,08,47
P2’s Apple Watch,2022-08-24,08,4
P2’s Apple Watch,2022-08-24,08,69
P2’s Apple Watch,2022-08-24,08,16
P2’s Apple Watch,2022-08-24,08,16
P2’s Apple Watch,2022-08-24,08,13
P2 Phone,2022-08-24,07,316
P2 Phone,2022-08-24,08,10
P2 Phone,2022-08-24,08,34
P2’s Apple Watch,2022-08-24,08,22
P2 Phone,2022-08-24,09,158
P2’s Apple Watch,2022-08-24,08,82
P2’s Apple Watch,2022-08-24,09,40
P2’s Apple Watch,2022-08-24,09,19
P2’s Apple Watch,2022-08-24,09,41
P2’s Apple Watch,2022-08-24,09,43
P2’s Apple Watch,2022-08-24,09,51
P2’s Apple Watch,2022-08-24,09,25
P2’s Apple Watch,2022-08-24,09,39
P2’s Apple Watch,2022-08-24,09,147
P2’s Apple Watch,2022-08-24,10,50
P2’s Apple Watch,2022-08-24,10,34
P2’s Apple Watch,2022-08-24,10,585
P2 Phone,2022-08-24,09,185
P2 Phone,2022-08-24,10,564
P2 Phone,2022-08-24,10,50
P2’s Apple Watch,2022-08-24,10,57
P2’s Apple Watch,2022-08-24,10,24
P2’s Apple Watch,2022-08-24,10,500
P2’s Apple Watch,2022-08-24,10,63
P2’s Apple Watch,2022-08-24,10,87
P2’s Apple Watch,2022-08-24,11,105
P2’s Apple Watch,2022-08-24,11,16
P2’s Apple Watch,2022-08-24,11,68
P2’s Apple Watch,2022-08-24,11,211
P2’s Apple Watch,2022-08-24,11,18
P2 Phone,2022-08-24,10,486
P2 Phone,2022-08-24,10,507
P2 Phone,2022-08-24,11,22
P2’s Apple Watch,2022-08-24,11,81
P2’s Apple Watch,2022-08-24,11,34
P2’s Apple Watch,2022-08-24,11,22
P2’s Apple Watch,2022-08-24,11,41
P2 Phone,2022-08-24,11,2
P2 Phone,2022-08-24,11,98
P2’s Apple Watch,2022-08-24,11,4
P2’s Apple Watch,2022-08-24,11,43
P2’s Apple Watch,2022-08-24,11,35
P2’s Apple Watch,2022-08-24,11,23
P2’s Apple Watch,2022-08-24,12,18
P2’s Apple Watch,2022-08-24,12,35
P2’s Apple Watch,2022-08-24,13,14
P2’s Apple Watch,2022-08-24,13,36
P2’s Apple Watch,2022-08-24,13,3
P2’s Apple Watch,2022-08-24,13,20
P2 Phone,2022-08-24,12,91
P2 Phone,2022-08-24,13,2
P2’s Apple Watch,2022-08-24,13,11
P2’s Apple Watch,2022-08-24,13,8
P2’s Apple Watch,2022-08-24,13,16
P2’s Apple Watch,2022-08-24,13,64
P2 Phone,2022-08-24,13,34
P2 Phone,2022-08-24,14,203
P2’s Apple Watch,2022-08-24,14,36
P2’s Apple Watch,2022-08-24,14,42
P2’s Apple Watch,2022-08-24,14,64
P2’s Apple Watch,2022-08-24,14,31
